rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status(D-Self Made)(U-Inherited/Unearned),gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,Marital Status,Children,Education,Bachelor,Master,Doctorate,Drop Out,Self Made
519,5200,Gambling & Casinos,Mark Scheinberg,49,United Kingdom,Isle of Man,Online gambling,Gambling & Casinos,Canada,,TRUE,D,M,12/27/1973 0:00,Scheinberg,Mark,,4/4/2023 5:01,,,1973,12,27,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Single,,"Drop Out, Fanshawe College",0,0,0,1,1
520,5200,Technology,Charles Simonyi,74,United States,Medina,Microsoft,Technology,United States,,TRUE,D,M,9/10/1948 0:00,Simonyi,Charles,,4/4/2023 5:01,Washington,West,1948,9,10,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,2,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, Berkeley",1,0,1,0,1
521,5200,Real Estate,Ty Warner,78,United States,Oak Brook,"Plush toys, real estate",Real Estate,United States,,TRUE,U,M,9/3/1944 0:00,Warner,Ty,,4/4/2023 5:01,Illinois,Midwest,1944,9,3,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Single,,"Drop Out, Kalamazoo College",0,0,0,1,1
522,5200,Real Estate,Sam Zell,81,United States,Chicago,"Real estate, private equity",Real Estate,United States,,TRUE,D,M,9/28/1941 0:00,Zell,Sam,,4/4/2023 5:01,Illinois,,1941,9,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,,3,"Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan",1,0,0,0,1
523,5100,Manufacturing,Fang Wei,49,China,Beijing,Steel,Manufacturing,China,,TRUE,U,M,9/4/1973 0:00,Fang,Wei,,4/4/2023 5:01,,,1973,9,4,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,Married,,,,,,,1
524,5100,Finance & Investments,Rekha Jhunjhunwala,59,India,Mumbai,Investments,Finance & Investments,India,,FALSE,N,F,9/12/1963 0:00,Jhunjhunwala,Rekha,,4/4/2023 5:01,,,1963,9,12,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,Widowed,3,"Bachelor of Commerce, University of Mumbai",1,0,0,0,0
525,5100,Finance & Investments,Charles B. Johnson,90,United States,Palm Beach,Franklin Templeton,Finance & Investments,United States,Franklin Resources Inc.,FALSE,E,M,1/6/1933 0:00,Johnson,Charles B.,Former Chairman and CEO,4/4/2023 5:01,Florida,South,1933,1,6,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,6,"Bachelor of Arts/Science, Yale University",1,0,0,0,0
526,5100,Media & Entertainment,Kwon Hyuk-bin,49,South Korea,Seoul,Online games,Media & Entertainment,South Korea,Smilegate Holdings,TRUE,D,M,1/1/1974 0:00,Kwon,Hyuk-bin,,4/4/2023 5:01,,,1974,1,1,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922,Separated,2,"Bachelor of Arts/Science, Sogang University",1,0,0,0,1
527,5100,Finance & Investments,Sami Mnaymneh,61,United States,Miami Beach,Private equity,Finance & Investments,United States,,TRUE,U,M,7/13/1961 0:00,Mnaymneh,Sami,,4/4/2023 5:01,Florida,South,1961,7,13,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,,,"Bachelor of Arts/Economics, Columbia University; Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard University",1,1,0,0,1
528,5100,Logistics,Kjell Inge Rokke,64,Norway,Vettre,"Shipping, seafood",Logistics,Norway,,TRUE,D,M,10/25/1958 0:00,Rokke,Kjell Inge,,4/4/2023 5:01,,,1958,10,25,120.27,2.2,"$403,336,363,636 ",82,100.3,82.8,23.9,36.2,5347896,60.472024,8.468946,Married,4,,,,,,1
529,5100,Finance & Investments,Tony Tamer,65,United States,New York,Private equity,Finance & Investments,United States,,TRUE,U,M,10/12/1957 0:00,Tamer,Tony,,4/4/2023 5:01,New York,Northeast,1957,10,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Rutgers University; Master of Science in Engineering, Stanford University",1,1,0,0,1
530,5100,Healthcare,Tse Ping & family,71,Hong Kong,Hong Kong,Pharmaceuticals,Healthcare,China,,TRUE,D,M,1/3/1952 0:00,Tse,Ping,,4/4/2023 5:01,,,1952,1,3,,,,,,,,,,,,Married,2,,,,,,1
531,5100,Technology,Romesh T. Wadhwani,75,United States,Palo Alto,Software,Technology,United States,Symphony Technology Group,TRUE,U,M,8/25/1947 0:00,Wadhwani,Romesh T.,Founder and Chairman,4/4/2023 5:01,California,West,1947,8,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay",1,1,1,0,1
532,5100,Healthcare,Hansjoerg Wyss,88,United States,Wilson,Medical devices,Healthcare,Switzerland,,TRUE,U,M,1/1/1935 0:00,Wyss,Hansjoerg,,4/4/2023 5:01,Wyoming,South,1935,1,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Divorced,1,"Master of Business Administration, Harvard University; Master of Science, Swiss Federal Institute of Technology",0,1,0,0,1
533,5100,Sports,Denise York & family,72,United States,Youngstown,San Francisco 49ers,Sports,United States,San Francisco 49ers,FALSE,U,F,10/21/1950 0:00,York,Denise,Co-Chairman,4/4/2023 5:01,Ohio,Midwest,1950,10,21,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,4,,,,,,0
534,5000,Finance & Investments,Ron Baron,79,United States,New York,Money management,Finance & Investments,United States,,TRUE,U,M,5/23/1943 0:00,Baron,Ron,,4/4/2023 5:01,New York,Northeast,1943,5,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,2,"Bachelor of Arts/Science, Bucknell University",1,0,0,0,1
535,5000,Energy,Robert Bass,75,United States,Fort Worth,"Oil, investments",Energy,United States,,FALSE,D,M,3/19/1948 0:00,Bass,Robert,,4/4/2023 5:01,Texas,South,1948,3,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,4,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",1,1,0,0,0
536,5000,Healthcare,Dona Bertarelli,55,Switzerland,Gstaad,Biotech and investments,Healthcare,Switzerland,,FALSE,U,F,1/1/1968 0:00,Bertarelli,Dona,,4/4/2023 5:01,,,1968,1,1,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,,,,,,,,0
537,5000,Finance & Investments,Alexander Gerko,43,United Kingdom,London,Trading,Finance & Investments,United Kingdom,,TRUE,N,M,12/3/1979 0:00,Gerko,Alexander,,4/4/2023 5:01,,,1979,12,3,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Married,,"Master of Science, Moscow State University; Ph.D, Moscow State University; Master of Economics, New Economic School",0,1,0,0,1
538,5000,Technology,Martin Haefner,69,Switzerland,Zurich,"Software, investments",Technology,Switzerland,,FALSE,U,M,1/1/1954 0:00,Haefner,Martin,,4/4/2023 5:01,,,1954,1,1,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Married,,,,,,,0
539,5000,Telecom,"Robert Hale, Jr.",56,United States,Boston,Telecom,Telecom,United States,,TRUE,U,M,7/8/1966 0:00,Hale,Robert,,4/4/2023 5:01,Massachusetts,Northeast,1966,7,8,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,,"Bachelor of Arts/Science, Connecticut College",1,0,0,0,1
540,5000,Healthcare,Viktor Kharitonin,50,Russia,Moscow,Pharmaceuticals,Healthcare,Russia,,TRUE,U,M,11/20/1972 0:00,Kharitonin,Viktor,,4/4/2023 5:01,,,1972,11,20,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Married,2,"Bachelor of Arts/Science, Novosibirsk State University",1,0,0,0,1
541,5000,Technology,Kim Beom-su,57,South Korea,Seoul,Online services,Technology,South Korea,,TRUE,D,M,3/27/1966 0:00,Kim,Beom-su,,4/4/2023 5:01,,,1966,3,27,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922,Married,2,"Bachelor of Science in Engineering, Seoul National University; Master of Science, Seoul National University",1,1,0,0,1
542,5000,Fashion & Retail,Jane Lauder,50,United States,New York,Estée Lauder,Fashion & Retail,United States,,FALSE,D,F,1/1/1973 0:00,Lauder,Jane,,4/4/2023 5:01,New York,Northeast,1973,1,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,,"Bachelor of Arts/Science, Stanford University",1,0,0,0,0
543,5000,Fashion & Retail,Michel Leclercq & family,83,France,Lille,Sporting goods,Fashion & Retail,France,,FALSE,U,M,5/27/1939 0:00,Leclercq,Michel,,4/4/2023 5:01,,,1939,5,27,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,Married,4,,,,,,0
544,5000,Media & Entertainment,George Lucas,78,United States,San Anselmo,Star Wars,Media & Entertainment,United States,,TRUE,D,M,5/14/1944 0:00,Lucas,George,,4/4/2023 5:01,California,West,1944,5,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,4,"Bachelor of Arts/Science, University of Southern California",1,0,0,0,1
545,5000,Sports,Janice McNair,86,United States,Houston,"Energy, sports",Sports,United States,,FALSE,U,F,9/30/1936 0:00,McNair,Janice,,4/4/2023 5:01,Texas,South,1936,9,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Widowed,4,"Bachelor of Arts/Science, Columbia College",1,0,0,0,0
546,5000,Healthcare,Ugur Sahin,57,Germany,Mainz,Biotechnology,Healthcare,Germany,,TRUE,D,M,9/19/1965 0:00,Sahin,Ugur,,4/4/2023 5:01,,,1965,9,19,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,Married,,,,,,,1
547,5000,Real Estate,Alexandra Schoerghuber & family,64,Germany,Munich,Real estate,Real Estate,Germany,,FALSE,U,F,7/24/1958 0:00,Schoerghuber,Alexandra,,4/4/2023 5:01,,,1958,7,24,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,Widowed,3,,,,,,0
548,5000,Healthcare,Thomas Straumann,59,Switzerland,Basel,Dental implants,Healthcare,Switzerland,,FALSE,D,M,7/22/1963 0:00,Straumann,Thomas,,4/4/2023 5:01,,,1963,7,22,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,,,,,,,,0
549,5000,Food & Beverage,Murat Ulker,64,Turkey,Istanbul,Food,Food & Beverage,Turkey,,FALSE,U,M,3/23/1959 0:00,Ulker,Murat,,4/4/2023 5:01,,,1959,3,23,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322,Married,3,"Bachelor of Arts/Science, Bogazici University",1,0,0,0,0
550,5000,Fashion & Retail,Chip Wilson,66,Canada,Vancouver,Lululemon,Fashion & Retail,Canada,Lululemon,TRUE,D,M,1/1/1957 0:00,Wilson,Chip,Chairman,4/4/2023 5:01,,,1957,1,1,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,Married,5,"Bachelor of Arts/Science, University of Calgary",1,0,0,0,1
551,5000,Real Estate,Zhu Yan & family,,China,Beijing,Real estate,Real Estate,China,,FALSE,U,F,,Zhu,Yan,,4/4/2023 5:01,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,Widowed,,,,,,,0
552,4900,Manufacturing,Jim Davis & family,79,United States,Newton,New Balance,Manufacturing,United States,New Balance,TRUE,D,M,5/17/1943 0:00,Davis,Jim,Chairman,4/4/2023 5:01,Massachusetts,Northeast,1943,5,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,2,"Bachelor of Arts/Science, Middlebury College",1,0,0,0,1
553,4900,Healthcare,Murali Divi & family,72,India,Hyderabad,Pharmaceuticals,Healthcare,India,,TRUE,D,M,3/17/1951 0:00,Divi,Murali,,4/4/2023 5:01,,,1951,3,17,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,Married,2,,,,,,1
554,4900,Technology,Dagmar Dolby & family,81,United States,San Francisco,Dolby Laboratories,Technology,United States,,FALSE,U,F,6/28/1941 0:00,Dolby,Dagmar,,4/4/2023 5:01,California,West,1941,6,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Widowed,2,"Bachelor of Arts/Science, Heidelberg University",1,0,0,0,0
555,4900,Technology,Marcos Galperin,,Argentina,Buenos Aires,E-commerce,Technology,Argentina,,TRUE,U,M,,Galperin,Marcos,,4/4/2023 5:01,,,,,,232.75,53.5,"$449,663,446,954 ",90,109.7,76.5,10.1,106.3,44938712,-38.416097,-63.616672,,,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",1,1,0,0,1
556,4900,Service,Tom Golisano,81,United States,Naples,Payroll services,Service,United States,,TRUE,D,M,11/14/1941 0:00,Golisano,Tom,,4/4/2023 5:01,Florida,South,1941,11,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,2,"Associate in Arts/Science, SUNY Tech Alfred",0,0,0,0,1
557,4900,Finance & Investments,Jonathan Gray,53,United States,New York,Investments,Finance & Investments,United States,,TRUE,D,M,2/4/1970 0:00,Gray,Jonathan,,4/4/2023 5:01,New York,Northeast,1970,2,4,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",1,0,0,0,1
558,4900,Finance & Investments,Bidzina Ivanishvili,67,Georgia,Tbilisi,Investments,Finance & Investments,Georgia,,TRUE,U,M,2/18/1956 0:00,Ivanishvili,Bidzina,,4/4/2023 5:01,,,1956,2,18,133.61,4.9,"$17,743,195,770 ",63.9,98.6,73.6,21.7,9.9,3720382,42.315407,43.356892,Married,4,,,,,,1
559,4900,Metals & Mining,Lim Hariyanto Wijaya Sarwono,94,Indonesia,Jakarta,"Palm oil, nickel mining",Metals & Mining,Indonesia,,TRUE,U,M,11/1/1928 0:00,Lim,Hariyanto Wijaya Sarwono,,4/4/2023 5:01,,,1928,11,1,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,Married,7,,,,,,1
560,4900,Healthcare,Rudolf Maag,77,Switzerland,Binningen,Medical devices,Healthcare,Switzerland,,TRUE,D,M,1/31/1946 0:00,Maag,Rudolf,,4/4/2023 5:01,,,1946,1,31,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Married,2,"Master of Business Administration, INSEAD",0,1,0,0,1
561,4900,Food & Beverage,Emanuele (Lino) Saputo & family,86,Canada,Montreal,Cheese,Food & Beverage,Canada,Saputo,FALSE,U,M,1/1/1937 0:00,Saputo,Emanuele (Lino),Chairman,4/4/2023 5:01,,,1937,1,1,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,Married,3,"Diploma, High School",0,0,0,0,0
562,4900,Automotive,Mark Shoen,72,United States,Phoenix,U-Haul,Automotive,United States,,FALSE,U,M,11/20/1950 0:00,Shoen,Mark,,4/4/2023 5:01,Arizona,West,1950,11,20,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,1,"Bachelor of Arts/Science, College of the Holy Cross",1,0,0,0,0
563,4900,Sports,Dan Snyder,58,United States,Potomac,Washington Commanders,Sports,United States,,TRUE,U,M,11/23/1964 0:00,Snyder,Dan,,4/4/2023 5:01,Maryland,South,1964,11,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,3,"Drop Out, University of Maryland",0,0,0,1,1
564,4900,Diversified,Chairul Tanjung,60,Indonesia,Jakarta,Diversified,Diversified,Indonesia,,TRUE,D,M,6/18/1962 0:00,Tanjung,Chairul,,4/4/2023 5:01,,,1962,6,18,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,Married,2,"Medical Doctor, University of Indonesia",0,0,0,0,1
565,4900,Energy,Kelcy Warren,67,United States,Dallas,Pipelines,Energy,United States,,TRUE,U,M,11/9/1955 0:00,Warren,Kelcy,,4/4/2023 5:01,Texas,South,1955,11,9,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,1,"Bachelor of Arts/Science, University of Texas Arlington",1,0,0,0,1
566,4900,Fashion & Retail,Zhang Tao,50,China,Beijing,E-commerce,Fashion & Retail,China,,TRUE,D,M,11/1/1972 0:00,Zhang,Tao,,4/4/2023 5:01,,,1972,11,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,,,"Master of Business Administration, The Wharton School of the University of Pennsylvania",0,1,0,0,1
567,4800,Fashion & Retail,Michael Ashley,58,United Kingdom,Hertfordshire,Sports retailing,Fashion & Retail,United Kingdom,,TRUE,U,M,9/12/1964 0:00,Ashley,Michael,,4/4/2023 5:01,,,1964,9,12,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Divorced,,,,,,,1
568,4800,Fashion & Retail,Tomasz Biernacki,50,Poland,"Krotoszyn,",Supermarkets,Fashion & Retail,Poland,,TRUE,U,M,1/1/1973 0:00,Biernacki,Tomasz,,4/4/2023 5:01,,,1973,1,1,114.11,2.2,"$592,164,400,688 ",67.8,100,77.6,17.4,40.8,37970874,51.919438,19.145136,,,,,,,,1
569,4800,Healthcare,Bernard Broermann,79,Germany,Koenigstein,Hospitals,Healthcare,Germany,,TRUE,U,M,11/22/1943 0:00,Broermann,Bernard,,4/4/2023 5:01,,,1943,11,22,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,Married,3,"Master of Business Administration, Harvard University",0,1,0,0,1
570,4800,Fashion & Retail,Jimmy Haslam,69,United States,Knoxville,"Gas stations, retail",Fashion & Retail,United States,Pilot Flying J,FALSE,U,M,3/9/1954 0:00,Haslam,Jimmy,CEO,4/4/2023 5:01,Tennessee,South,1954,3,9,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,3,"Bachelor of Arts/Science, University of Tennessee Knoxville",1,0,0,0,0
571,4800,Manufacturing,H. Fisk Johnson,64,United States,Racine,Cleaning products,Manufacturing,United States,,FALSE,U,M,5/19/1958 0:00,Johnson,H. Fisk,,4/4/2023 5:01,Wisconsin,Midwest,1958,5,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Divorced,1,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",1,1,1,0,0
572,4800,Manufacturing,S. Curtis Johnson,67,United States,Racine,Cleaning products,Manufacturing,United States,,FALSE,U,M,5/5/1955 0:00,Johnson,S. Curtis,,4/4/2023 5:01,Wisconsin,Midwest,1955,5,5,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,4,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management",1,1,0,0,0
573,4800,Manufacturing,Helen Johnson-Leipold,66,United States,Racine,Cleaning products,Manufacturing,United States,,FALSE,U,F,12/30/1956 0:00,Johnson-Leipold,Helen,,4/4/2023 5:01,Wisconsin,Midwest,1956,12,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,5,"Bachelor of Arts/Science, Cornell University",1,0,0,0,0
574,4800,Technology,Vinod Khosla,68,United States,Portola Valley,Venture capital,Technology,United States,Khosla Ventures,TRUE,D,M,1/28/1955 0:00,Khosla,Vinod,Investor,4/4/2023 5:01,California,West,1955,1,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,,,,,,,,1
575,4800,Technology,Thai Lee,64,United States,Austin,IT provider,Technology,United States,,TRUE,U,F,11/27/1958 0:00,Lee,Thai,,4/4/2023 5:01,Texas,South,1958,11,27,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Divorced,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard Business School",1,1,0,0,1
576,4800,Manufacturing,Winifred J. Marquart,63,United States,Virginia Beach,Cleaning products,Manufacturing,United States,,FALSE,U,F,4/6/1959 0:00,Marquart,Winifred J.,,4/4/2023 5:01,Virginia,South,1959,4,6,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,4,"Drop Out, Cornell University",0,0,0,1,0
577,4800,Healthcare,Pankaj Patel,70,India,Ahmedabad,Pharmaceuticals,Healthcare,India,,FALSE,U,M,3/19/1953 0:00,Patel,Pankaj,,4/4/2023 5:01,,,1953,3,19,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,Married,2,"Bachelor of Arts/Science, Gujarat University; Master of Science, Gujarat University",1,1,0,0,0
578,4800,Manufacturing,Horst Julius Pudwill,78,Hong Kong,Hong Kong,Manufacturing,Manufacturing,Germany,,TRUE,D,M,10/23/1944 0:00,Pudwill,Horst Julius,,4/4/2023 5:01,,,1944,10,23,,,,,,,,,,,,Married,1,"Master of Science in Engineering, Technical College in Flensburg",0,1,0,0,1
579,4800,Finance & Investments,Yu Yong,62,China,Shanghai,Mining,Finance & Investments,China,,TRUE,U,M,2/1/1961 0:00,Yu,Yong,,4/4/2023 5:01,,,1961,2,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,Married,,,,,,,1
580,4700,Diversified,Maria Fernanda Amorim & family,88,Portugal,Grijo,"Energy, investments",Diversified,Portugal,,FALSE,E,F,1/16/1935 0:00,Amorim,Maria Fernanda,,4/4/2023 5:01,,,1935,1,16,110.62,0.3,"$237,686,075,635 ",63.9,106.2,81.3,22.8,39.8,10269417,39.399872,-8.224454,Widowed,3,,,,,,0
581,4700,Sports,Gayle Benson,76,United States,New Orleans,New Orleans Saints,Sports,United States,,FALSE,U,F,1/26/1947 0:00,Benson,Gayle,,4/4/2023 5:01,Louisiana,South,1947,1,26,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Widowed,,"High School Graduate, High School",0,0,0,0,0
582,4700,Technology,Jason Chang,78,Taiwan,Taipei,Electronics,Technology,Singapore,,TRUE,U,M,5/1/1944 0:00,Chang,Jason,,4/4/2023 5:01,,,1944,5,1,,,,,,,,,,,,Married,3,"Bachelor of Arts/Science, National Taiwan University",1,0,0,0,1
583,4700,Manufacturing,Ali Erdemoglu,63,Turkey,Istanbul,Carpet,Manufacturing,Turkey,,TRUE,U,M,11/20/1959 0:00,Erdemoglu,Ali,,4/4/2023 5:01,,,1959,11,20,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322,Married,3,,,,,,1
584,4700,Finance & Investments,Andre Esteves,54,Brazil,Sao paulo,Banking,Finance & Investments,Brazil,,TRUE,D,M,7/12/1968 0:00,Esteves,Andre,,4/4/2023 5:01,,,1968,7,12,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528,Married,3,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro",1,0,0,0,1
585,4700,Real Estate,Carlo Fidani,68,Canada,Toronto,Real estate,Real Estate,Canada,Orlando Corporation,FALSE,U,M,1/1/1955 0:00,Fidani,Carlo,Chairman,4/4/2023 5:01,,,1955,1,1,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,,,,,,,,0
586,4700,Technology,Hong Ra-hee,77,South Korea,Seoul,Samsung,Technology,South Korea,,FALSE,D,F,7/15/1945 0:00,Hong,Ra-hee,,4/4/2023 5:01,,,1945,7,15,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922,Widowed,3,"Bachelor of Arts/Science, Seoul National University",1,0,0,0,0
587,4700,Manufacturing,Li Gaiteng,50,China,Shanghai,Hair dryers,Manufacturing,China,,TRUE,U,M,4/8/1972 0:00,Li,Gaiteng,,4/4/2023 5:01,,,1972,4,8,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,Married,,,,,,,1
588,4700,Media & Entertainment,Thomas Secunda,68,United States,Croton-on-Hudson,Bloomberg LP,Media & Entertainment,United States,,TRUE,U,M,6/23/1954 0:00,Secunda,Thomas,,4/4/2023 5:01,New York,Northeast,1954,6,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,Married,2,"Bachelor of Arts/Science, SUNY Binghamton",1,0,0,0,1
589,4700,Diversified,Zuowen Song,76,China,Longkou,"Aluminum, diversified",Diversified,China,,TRUE,U,M,3/19/1947 0:00,Song,Zuowen,,4/4/2023 5:01,,,1947,3,19,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,Married,2,,,,,,1
